Year,Region,Category,Revenue_USD,Profit_Margin,Units_Sold,Customer_Satisfaction
2025,West,Groceries,18128.04,0.293,4019,4.8
2023,West,Electronics,260925.6,0.3101,2596,3.2
2025,West,Clothing,120982.93,0.324,803,4.0
2025,South,Furniture,326134.67,0.2034,2132,3.0
2023,South,Electronics,95439.55,0.2005,2824,3.9
2023,South,Electronics,348559.49,0.2895,2946,3.1
2025,North,Electronics,199500.32,0.245,4235,
2024,West,Clothing,468997.69,0.2606,825,3.2
2025,South,Furniture,77385.26,0.2887,1675,4.3
2025,South,Electronics,177122.51,0.317,3119,4.5
2025,North,Groceries,65602.03,0.1514,467,4.2
2025,South,Electronics,463099.87,0.1627,164,4.9
2023,North,Electronics,439896.28,0.0782,666,3.7
2025,East,Clothing,136391.4,0.2235,4024,3.6
2024,South,Clothing,333392.18,0.0608,3317,4.7
2023,East,Furniture,,0.1897,875,3.4
2024,North,Groceries,282048.4,0.2128,1566,4.9
2024,West,Clothing,269528.78,0.136,3196,3.0
2024,South,Electronics,128507.62,0.2272,462,4.9
2024,North,Furniture,55620.36,0.0592,778,3.1
2023,West,Electronics,449635.72,0.0612,3398,4.8
2023,West,Electronics,451204.85,0.2968,2858,4.1
2024,East,Clothing,320219.71,0.1581,725,5.0
2024,North,Furniture,176124.6,0.0881,3515,3.1
2023,West,Groceries,181112.69,0.2067,2554,4.1
2023,South,Groceries,365718.28,0.281,3017,4.9
2023,South,Clothing,449584.03,0.1147,2836,4.0
2025,East,Clothing,444672.35,0.2369,1172,4.3
2025,West,Furniture,392139.02,0.0756,4129,4.4
2025,North,Groceries,324595.51,0.0655,1621,3.9
2024,South,Groceries,51228.58,0.2094,2193,4.3
2025,West,Groceries,89198.07,0.2122,1737,4.2
2024,West,Electronics,450291.55,0.2412,4182,
2024,East,Groceries,307150.24,0.2678,3901,3.1
2025,South,Electronics,14506.56,0.3428,3490,3.6
2024,South,Furniture,59721.06,0.2049,3816,
2025,North,Electronics,335115.87,0.1469,2376,4.8
2025,South,Furniture,12480.18,0.2886,2964,3.9
2023,North,Groceries,88795.95,0.1312,4002,4.2
2025,South,Groceries,278879.56,0.1817,645,3.6
2023,East,Furniture,349028.65,0.0735,778,3.4
2025,South,Clothing,329461.02,0.0576,1415,3.9
2025,North,Furniture,119891.96,0.3388,4542,3.7
2023,North,Clothing,358967.82,0.3008,748,4.2
2023,East,Electronics,126252.05,0.2588,445,3.2
2025,South,Electronics,169445.85,0.1727,4221,
2024,South,Electronics,375780.79,0.102,4410,5.0
2023,East,Groceries,328320.12,0.0969,2552,4.4
2024,South,Electronics,426119.47,0.1251,1869,4.1
2024,South,Clothing,332230.32,0.2148,767,3.6
2024,North,Electronics,288471.22,0.2644,2832,4.6
2023,South,Furniture,55900.64,0.2481,4996,4.4
2024,South,Furniture,190180.74,0.134,3627,3.3
2023,East,Groceries,139949.16,0.3365,193,4.8
2024,East,Furniture,129554.93,0.2714,3190,
2025,West,Clothing,486775.17,0.2163,4541,4.9
2025,North,Electronics,202617.89,0.2335,2988,4.5
2023,South,Groceries,447102.81,0.1759,3686,4.2
2025,South,Electronics,319257.93,0.1243,3272,3.8
2025,West,Electronics,399457.54,0.1568,1217,4.9
2024,South,Clothing,256292.18,0.2774,2666,4.7
2023,North,Furniture,,0.0543,1112,3.1
2024,West,Furniture,251333.67,0.0848,2206,3.1
2024,North,Electronics,105669.06,0.0638,3032,3.8
2024,West,Groceries,364001.54,0.0622,3344,4.6
2024,West,Furniture,147578.46,0.3066,4779,5.0
2024,East,Groceries,21914.82,0.2611,1206,3.3
2024,North,Furniture,326281.42,0.1923,782,4.2
2024,South,Groceries,96784.23,0.0794,4380,3.8
2023,South,Clothing,470824.71,0.1975,4896,4.9
2025,North,Groceries,477425.0,0.192,1003,4.7
2024,South,Clothing,458283.55,0.102,2589,4.7
2024,South,Clothing,191377.76,0.1802,3374,3.9
2024,North,Groceries,17573.74,0.1696,3351,3.8
2024,West,Clothing,464876.1,0.2348,1592,3.5
2024,North,Electronics,219810.23,0.2405,1241,3.1
2024,West,Clothing,483660.86,0.0636,3043,4.7
2025,South,Furniture,482173.79,0.1624,2731,4.6
2025,South,Groceries,427974.63,0.2378,1267,5.0
2024,South,Electronics,154279.96,0.2009,1590,5.0
2025,East,Groceries,198697.89,0.3069,3286,4.1
2023,West,Furniture,427056.97,0.2476,2436,4.5
2024,East,Furniture,165291.78,0.0989,3769,4.9
2023,East,Furniture,93051.45,0.0712,1438,4.7
2023,North,Clothing,282832.62,0.2427,1906,3.5
2024,East,Clothing,468715.84,0.058,1415,3.9
2025,North,Groceries,351054.6,0.2257,549,3.3
2023,North,Groceries,289329.97,0.3321,1730,4.9
2024,East,Electronics,57616.48,0.2226,560,4.2
2023,West,Electronics,311353.54,0.1665,4362,3.5
2023,West,Groceries,495126.39,0.243,1374,4.3
2023,West,Clothing,78641.17,0.1875,1205,4.2
2023,West,Furniture,263981.53,0.2137,1877,3.7
2025,West,Groceries,439912.81,0.3324,3191,3.2
2023,East,Electronics,372976.62,0.1658,3536,4.3
2023,East,Clothing,351537.71,0.3384,1860,4.0
2023,South,Groceries,354217.2,0.3216,2973,4.5
2025,West,Groceries,186150.66,0.1087,2264,4.0
2023,East,Clothing,153860.0,0.0708,4236,4.7
2023,South,Groceries,406586.97,0.0802,763,4.1
